nombre_cientifico_original,nombre_cientifico_normalizado,nombre_cientifico_gbif,usage_key,reino,filo,clase,orden,familia,genero,estado_taxonomico,confianza_match,categoria_iucn
PORPHYRULA MARTINICA (LINNAEUS),Porphyrula martinica,"Porphyrula martinica (Linnaeus, 1766)",2474414.0,Animalia,Chordata,Aves,Gruiformes,Rallidae,Porphyrio,SYNONYM,98,LC
ARAÑA POLLERA,Araña pollera,,,,,,,,,,0,
OTUS CHOLIBA,Otus choliba,"Otus choliba (Vieillot, 1817)",5232187.0,Animalia,Chordata,Aves,Strigiformes,Strigidae,Megascops,SYNONYM,98,LC
PIONUS MENSTRUUS,Pionus menstruus,"Pionus menstruus (Linnaeus, 1766)",2479902.0,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Pionus,ACCEPTED,99,LC
IGUANA IGUANA,Iguana iguana,"Iguana iguana (Linnaeus, 1758)",2459658.0,Animalia,Chordata,Squamata,,Iguanidae,Iguana,ACCEPTED,99,LC
CHOLOEPUS HOFFMANNI W.H. PETERS,Choloepus hoffmanni,"Choloepus hoffmanni Peters, 1858",5219520.0,Animalia,Chordata,Mammalia,Pilosa,Megalonychidae,Choloepus,ACCEPTED,99,LC
TRACHEMYS SCRIPTA,Trachemys scripta,"Trachemys scripta (Thunberg In Schoepff, 1792)",2443002.0,Animalia,Chordata,Testudines,,Emydidae,Trachemys,ACCEPTED,99,LC
ARA SEVERA,Ara severa,"Ara severus (Linnaeus, 1758)",5959228.0,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Ara,ACCEPTED,96,LC
ARA ARARAUNA,Ara ararauna,"Ara ararauna (Linnaeus, 1758)",5959231.0,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Ara,ACCEPTED,99,LC
ARA MACAO,Ara macao,"Ara macao (Linnaeus, 1758)",5959227.0,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Ara,ACCEPTED,99,LC
AMAZONA OCHROCEPHALA,Amazona ochrocephala,"Amazona ochrocephala (Gmelin, 1788)",2479612.0,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,ACCEPTED,99,LC
AMAZONA AMAZONICA,Amazona amazonica,"Amazona amazonica (Linnaeus, 1766)",2479666.0,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,ACCEPTED,99,LC
RHINOPTYNX CLAMATOR,Rhinoptynx clamator,"Rhinoptynx clamator (Vieillot, 1808)",5789327.0,Animalia,Chordata,Aves,Strigiformes,Strigidae,Pseudoscops,SYNONYM,98,LC
GEOCHELONE CARBONARIA,Geochelone carbonaria,"Geochelone carbonaria (Spix, 1824)",2441647.0,Animalia,Chordata,Testudines,,Testudinidae,Chelonoidis,SYNONYM,98,NE
DASYPUS NOVEMCINCTUS LINNAEUS,Dasypus novemcinctus,"Dasypus novemcinctus Linnaeus, 1758",2440779.0,Animalia,Chordata,Mammalia,Cingulata,Dasypodidae,Dasypus,ACCEPTED,99,LC
