especie_key,tipo_especie,nombre_comun,nombre_cientifico,categoria_iucn,categoria_iucn_label,es_amenazada
1,AVES,MARTINICA,PORPHYRULA MARTINICA (LINNAEUS),LC,Preocupación menor,False
2,ARACNIDOS,TARANTULA,ARAÑA POLLERA,NE,No evaluada,False
3,AVES,CHOLIBA,OTUS CHOLIBA,LC,Preocupación menor,False
4,AVES,LORA CABECIAZUL,PIONUS MENSTRUUS,LC,Preocupación menor,False
5,REPTILES,IGUANA,IGUANA IGUANA,LC,Preocupación menor,False
6,MAMIFEROS,HOFFMANNI,CHOLOEPUS HOFFMANNI W.H. PETERS,LC,Preocupación menor,False
7,REPTILES,TORTUGA ICOTEA,TRACHEMYS SCRIPTA,LC,Preocupación menor,False
8,AVES,GUACAMAYEJA,ARA SEVERA,LC,Preocupación menor,False
9,AVES,GUACAMAYA AZUL AMARILLA,ARA ARARAUNA,LC,Preocupación menor,False
10,AVES,GUACAMAYA BANDERA,ARA MACAO,LC,Preocupación menor,False
11,AVES,LORA FRENTIAMARILLA,AMAZONA OCHROCEPHALA,LC,Preocupación menor,False
12,AVES,LORA FRENTIAMARILLA,AMAZONA AMAZONICA,LC,Preocupación menor,False
13,AVES,MOCHO ORELHUDO,RHINOPTYNX CLAMATOR,LC,Preocupación menor,False
14,REPTILES,TORTUGA MORROCOY,GEOCHELONE CARBONARIA,NE,No evaluada,False
15,MAMIFEROS,NOVEMCINCTUS,DASYPUS NOVEMCINCTUS LINNAEUS,LC,Preocupación menor,False
16,MAMIFEROS,NASUA,NASUA NASUA,LC,Preocupación menor,False
17,MAMIFEROS,PUERCO ESPIN,COENDU SP.,NE,No evaluada,False
18,REPTILES,BOA,BOA CONSTRICTOR,LC,Preocupación menor,False
19,MAMIFEROS,NOVENCNCTUS,DASYPUS NOVENCNCTUS,LC,Preocupación menor,False
20,MAMIFEROS,TITI PIEL ROJA,SAGUINUS LEUCOPUS,VU,Vulnerable,True
21,AVES,IGNOBILIS,TURDUS IGNOBILIS,LC,Preocupación menor,False
22,AVES,VITRIOLINA,TANGARA VITRIOLINA,LC,Preocupación menor,False
23,AVES,MIRLA PANTANERA,TURDUS FUSCATER,LC,Preocupación menor,False
24,AVES,TURPIAL,ICTERUS CHRYSATER,LC,Preocupación menor,False
25,AVES,CANARIO SILVESTRE,SICALIS FLAVEOLA,LC,Preocupación menor,False
26,AVES,SPIZA,CHLOROPHANES SPIZA,LC,Preocupación menor,False
27,MAMIFEROS,FLAVUS,POTOS FLAVUS (SCHREBER),LC,Preocupación menor,False
28,AVES,TUCAN CONFITE,RAMPHASTOS SULPHURATUS,NT,Casi amenazada,False
29,AVES,PERICO REAL,BROTOGERIS JUGULARIS,LC,Preocupación menor,False
30,AVES,FLAMINGO ROSADO,PHOENICOPTERUS RUBER,LC,Preocupación menor,False
31,AVES,PERICO REAL,BOTOGERIS JUGULARIS,NE,No evaluada,False
32,AVES,MAGNIROSTRIS,BUTEO MAGNIROSTRIS,LC,Preocupación menor,False
33,REPTILES,TORTUGA PIMPANO,KINOSTERNON SP.,NE,No evaluada,False
34,REPTILES,BABILLA,CAIMAN COCODRYLUS,NE,No evaluada,False
35,MAMIFEROS,MONO MAICERO,CEBUS ALBIFRONS,LC,Preocupación menor,False
36,REPTILES,TORTUGA PALMERA,RHINOCLEMMYS MELANOSTERNA,NE,No evaluada,False
37,MAMIFEROS,LONGICAUDIS ANNECTENS,LUTRA LONGICAUDIS ANNECTENS FORSYTH-MAJOR,NE,No evaluada,False
38,REPTILES,BOA CONSTRICTOR,BOA CONSTRICTOR,LC,Preocupación menor,False
39,MAMIFEROS,PEREZOSO DE ANTIFAZ,BRADYPUS VARIEGATUS,LC,Preocupación menor,False
40,REPTILES,TORTUGA CHARAPA,PODOCNEMYS EXPANSA,NE,No evaluada,False
41,AVES,SULPHURATUS,PITANGUS SULPHURATUS,LC,Preocupación menor,False
42,MAMIFEROS,ZORRO,DUSCICION THOUS,NE,No evaluada,False
43,REPTILES,CORAIS,DRYMARCHON CORAIS MELANURUS,LC,Preocupación menor,False
44,MAMIFEROS,MONO CARIBLANCO,CEBUS CAPUCHINUS,VU,Vulnerable,True
45,MAMIFEROS,GRANATENSIS,SCIURUS GRANATENSIS,LC,Preocupación menor,False
46,AVES,SEGMENTATA SEGMENTATA,UROPSALIS SEGMENTATA SEGMENTATA (CASSIN),LC,Preocupación menor,False
47,AVES,CHILENSIS,VANELLUS CHILENSIS,LC,Preocupación menor,False
48,AVES,AUTUMNALIS,AMAZONA AUTUMNALIS,LC,Preocupación menor,False
49,REPTILES,PETOLAE,OXYRHOPHUS PETOLAE,NE,No evaluada,False
50,AVES,NIGRICANS,SAYORNIS NIGRICANS,LC,Preocupación menor,False
51,AVES,LORA CARISUCIA,ARATINGA PERTINAX,LC,Preocupación menor,False
52,MAMIFEROS,ZARIGÜEYA,CALUROMYS DERBIANUS,LC,Preocupación menor,False
