id,tiempo_key,ubicacion_key,especie_key,autoridad_key,situacion,cantidad
1,1,1,1,1,ENTREGA VOLUNTARIA,1
2,1,2,2,2,ENTREGA VOLUNTARIA,1
3,1,3,3,2,ENTREGA VOLUNTARIA,1
4,1,4,4,1,ENTREGA VOLUNTARIA,2
5,1,5,5,1,ENTREGA VOLUNTARIA,1
6,1,6,5,1,ENTREGA VOLUNTARIA,1
7,1,7,5,1,ENTREGA VOLUNTARIA,1
8,1,1,5,1,ENTREGA VOLUNTARIA,1
9,1,8,6,3,ENTREGA VOLUNTARIA,1
10,1,9,7,2,ENTREGA VOLUNTARIA,1
11,1,10,8,3,ENTREGA VOLUNTARIA,1
12,1,10,9,3,ENTREGA VOLUNTARIA,1
13,1,11,10,3,ENTREGA VOLUNTARIA,1
14,1,11,11,3,ENTREGA VOLUNTARIA,1
15,1,11,9,3,ENTREGA VOLUNTARIA,2
16,1,11,12,3,ENTREGA VOLUNTARIA,1
17,1,2,13,2,ENTREGA VOLUNTARIA,1
18,1,12,14,1,ENTREGA VOLUNTARIA,1
19,1,13,15,1,ENTREGA VOLUNTARIA,1
20,1,13,16,1,ENTREGA VOLUNTARIA,1
21,1,14,6,1,ENTREGA VOLUNTARIA,1
22,1,15,5,1,ENTREGA VOLUNTARIA,1
23,1,16,5,1,ENTREGA VOLUNTARIA,1
24,1,17,6,1,ENTREGA VOLUNTARIA,1
25,1,18,5,1,ENTREGA VOLUNTARIA,1
26,1,1,5,1,ENTREGA VOLUNTARIA,1
27,1,1,17,1,ENTREGA VOLUNTARIA,1
28,1,19,18,1,ENTREGA VOLUNTARIA,1
29,1,20,4,1,ENTREGA VOLUNTARIA,1
30,1,18,5,1,ENTREGA VOLUNTARIA,1
31,1,1,5,1,ENTREGA VOLUNTARIA,1
32,1,21,5,1,ENTREGA VOLUNTARIA,1
33,1,22,5,1,ENTREGA VOLUNTARIA,1
34,1,23,15,1,ENTREGA VOLUNTARIA,1
35,1,1,6,1,ENTREGA VOLUNTARIA,1
36,1,24,19,1,ENTREGA VOLUNTARIA,1
37,1,25,6,1,ENTREGA VOLUNTARIA,1
38,1,26,16,3,ENTREGA VOLUNTARIA,1
39,1,27,13,1,ENTREGA VOLUNTARIA,1
40,1,28,12,1,ENTREGA VOLUNTARIA,1
41,1,5,20,1,ENTREGA VOLUNTARIA,1
42,1,11,6,1,ENTREGA VOLUNTARIA,1
43,1,29,21,1,ENTREGA VOLUNTARIA,1
44,1,29,22,1,ENTREGA VOLUNTARIA,1
45,1,29,23,1,ENTREGA VOLUNTARIA,1
46,1,29,24,1,ENTREGA VOLUNTARIA,1
47,1,29,25,1,ENTREGA VOLUNTARIA,3
48,1,29,26,1,ENTREGA VOLUNTARIA,1
49,1,30,5,1,ENTREGA VOLUNTARIA,1
50,1,31,5,1,ENTREGA VOLUNTARIA,1
51,1,11,27,1,ENTREGA VOLUNTARIA,1
52,1,19,28,3,ENTREGA VOLUNTARIA,1
53,1,19,29,3,ENTREGA VOLUNTARIA,1
54,1,19,23,3,ENTREGA VOLUNTARIA,2
55,1,19,30,3,ENTREGA VOLUNTARIA,1
56,1,32,10,1,ENTREGA VOLUNTARIA,1
57,1,1,5,1,ENTREGA VOLUNTARIA,1
58,1,33,15,1,ENTREGA VOLUNTARIA,1
59,1,34,14,1,ENTREGA VOLUNTARIA,1
60,1,18,31,1,ENTREGA VOLUNTARIA,1
61,1,35,15,1,ENTREGA VOLUNTARIA,1
62,1,36,32,1,ENTREGA VOLUNTARIA,1
63,1,5,33,1,ENTREGA VOLUNTARIA,1
64,1,37,34,1,ENTREGA VOLUNTARIA,1
65,1,20,15,1,ENTREGA VOLUNTARIA,1
66,1,38,5,1,ENTREGA VOLUNTARIA,1
67,1,9,5,1,ENTREGA VOLUNTARIA,1
68,1,7,14,1,ENTREGA VOLUNTARIA,1
69,1,19,3,4,ENTREGA VOLUNTARIA,1
70,1,39,35,1,ENTREGA VOLUNTARIA,1
71,1,25,6,1,ENTREGA VOLUNTARIA,1
72,1,1,16,1,ENTREGA VOLUNTARIA,1
73,1,40,33,1,ENTREGA VOLUNTARIA,1
74,1,41,36,1,ENTREGA VOLUNTARIA,1
75,1,20,14,1,ENTREGA VOLUNTARIA,1
76,1,42,6,1,ENTREGA VOLUNTARIA,1
77,1,43,5,1,ENTREGA VOLUNTARIA,1
78,1,43,33,1,ENTREGA VOLUNTARIA,1
79,1,44,14,1,ENTREGA VOLUNTARIA,1
80,1,45,5,1,ENTREGA VOLUNTARIA,1
81,1,43,5,1,ENTREGA VOLUNTARIA,1
82,1,41,37,1,ENTREGA VOLUNTARIA,1
83,1,46,38,1,ENTREGA VOLUNTARIA,1
84,1,25,33,1,ENTREGA VOLUNTARIA,1
85,1,11,6,1,ENTREGA VOLUNTARIA,1
86,1,47,20,1,ENTREGA VOLUNTARIA,1
87,1,21,7,1,ENTREGA VOLUNTARIA,2
88,1,48,5,1,ENTREGA VOLUNTARIA,1
89,1,19,14,1,ENTREGA VOLUNTARIA,1
90,1,19,14,1,ENTREGA VOLUNTARIA,1
91,1,19,18,1,ENTREGA VOLUNTARIA,1
92,1,49,5,1,ENTREGA VOLUNTARIA,2
93,1,50,14,1,ENTREGA VOLUNTARIA,1
94,1,51,33,1,ENTREGA VOLUNTARIA,1
95,1,30,8,1,ENTREGA VOLUNTARIA,1
96,1,52,39,1,ENTREGA VOLUNTARIA,1
97,1,53,6,1,ENTREGA VOLUNTARIA,1
98,1,54,19,1,ENTREGA VOLUNTARIA,1
99,1,5,40,3,ENTREGA VOLUNTARIA,4
100,1,5,20,3,ENTREGA VOLUNTARIA,1
101,1,5,41,3,ENTREGA VOLUNTARIA,3
102,1,5,33,3,ENTREGA VOLUNTARIA,1
103,1,5,12,3,ENTREGA VOLUNTARIA,1
104,1,5,11,3,ENTREGA VOLUNTARIA,1
105,1,5,7,3,ENTREGA VOLUNTARIA,1
106,1,19,20,1,ENTREGA VOLUNTARIA,1
107,1,55,42,1,ENTREGA VOLUNTARIA,1
108,1,5,39,3,ENTREGA VOLUNTARIA,1
109,1,5,43,3,ENTREGA VOLUNTARIA,1
110,1,42,5,1,ENTREGA VOLUNTARIA,1
111,1,5,5,3,ENTREGA VOLUNTARIA,1
112,1,5,11,3,ENTREGA VOLUNTARIA,1
