nombre_cientifico_original,nombre_cientifico_normalizado,nombre_cientifico_gbif,usage_key,reino,filo,clase,orden,familia,genero,estado_taxonomico,confianza_match,categoria_iucn
PORPHYRULA MARTINICA (LINNAEUS),,,,,,,,,,,0,
ARAÑA POLLERA,Araña,,,,,,,,,,0,
OTUS CHOLIBA,,,,,,,,,,,0,
PIONUS MENSTRUUS,,,,,,,,,,,0,
IGUANA IGUANA,,,,,,,,,,,0,
CHOLOEPUS HOFFMANNI W.H. PETERS,,,,,,,,,,,0,
TRACHEMYS SCRIPTA,,,,,,,,,,,0,
ARA SEVERA,,,,,,,,,,,0,
ARA ARARAUNA,,,,,,,,,,,0,
ARA MACAO,,,,,,,,,,,0,
AMAZONA OCHROCEPHALA,,,,,,,,,,,0,
AMAZONA AMAZONICA,,,,,,,,,,,0,
RHINOPTYNX CLAMATOR,,,,,,,,,,,0,
GEOCHELONE CARBONARIA,,,,,,,,,,,0,
DASYPUS NOVEMCINCTUS LINNAEUS,,,,,,,,,,,0,
NASUA NASUA,,,,,,,,,,,0,
COENDU SP.,,,,,,,,,,,0,
BOA CONSTRICTOR,,,,,,,,,,,0,
DASYPUS NOVENCNCTUS,,,,,,,,,,,0,
SAGUINUS LEUCOPUS,,,,,,,,,,,0,
TURDUS IGNOBILIS,,,,,,,,,,,0,
TANGARA VITRIOLINA,,,,,,,,,,,0,
TURDUS FUSCATER,,,,,,,,,,,0,
ICTERUS CHRYSATER,,,,,,,,,,,0,
SICALIS FLAVEOLA,,,,,,,,,,,0,
CHLOROPHANES SPIZA,,,,,,,,,,,0,
POTOS FLAVUS (SCHREBER),,,,,,,,,,,0,
RAMPHASTOS SULPHURATUS,,,,,,,,,,,0,
BROTOGERIS JUGULARIS,,,,,,,,,,,0,
PHOENICOPTERUS RUBER,,,,,,,,,,,0,
BOTOGERIS JUGULARIS,,,,,,,,,,,0,
BUTEO MAGNIROSTRIS,,,,,,,,,,,0,
KINOSTERNON SP.,,,,,,,,,,,0,
CAIMAN COCODRYLUS,,,,,,,,,,,0,
CEBUS ALBIFRONS,,,,,,,,,,,0,
RHINOCLEMMYS MELANOSTERNA,,,,,,,,,,,0,
LUTRA LONGICAUDIS ANNECTENS FORSYTH-MAJOR,Lutra Longicaudis Annectens Forsyth-,,,,,,,,,,0,
BRADYPUS VARIEGATUS,,,,,,,,,,,0,
PODOCNEMYS EXPANSA,,,,,,,,,,,0,
PITANGUS SULPHURATUS,,,,,,,,,,,0,
DUSCICION THOUS,,,,,,,,,,,0,
DRYMARCHON CORAIS MELANURUS,,,,,,,,,,,0,
CEBUS CAPUCHINUS,,,,,,,,,,,0,
SCIURUS GRANATENSIS,,,,,,,,,,,0,
UROPSALIS SEGMENTATA SEGMENTATA (CASSIN),,,,,,,,,,,0,
VANELLUS CHILENSIS,,,,,,,,,,,0,
