especie_key,tipo_especie,nombre_comun,nombre_cientifico,categoria_iucn,categoria_iucn_label,es_amenazada
1,AVES,MARTINICA,PORPHYRULA MARTINICA (LINNAEUS),NE,No evaluada,False
2,ARACNIDOS,TARANTULA,ARAÑA POLLERA,NE,No evaluada,False
3,AVES,CHOLIBA,OTUS CHOLIBA,NE,No evaluada,False
4,AVES,LORA CABECIAZUL,PIONUS MENSTRUUS,NE,No evaluada,False
5,REPTILES,IGUANA,IGUANA IGUANA,NE,No evaluada,False
6,MAMIFEROS,HOFFMANNI,CHOLOEPUS HOFFMANNI W.H. PETERS,NE,No evaluada,False
7,REPTILES,TORTUGA ICOTEA,TRACHEMYS SCRIPTA,NE,No evaluada,False
8,AVES,GUACAMAYEJA,ARA SEVERA,NE,No evaluada,False
9,AVES,GUACAMAYA AZUL AMARILLA,ARA ARARAUNA,NE,No evaluada,False
10,AVES,GUACAMAYA BANDERA,ARA MACAO,NE,No evaluada,False
11,AVES,LORA FRENTIAMARILLA,AMAZONA OCHROCEPHALA,NE,No evaluada,False
12,AVES,LORA FRENTIAMARILLA,AMAZONA AMAZONICA,NE,No evaluada,False
13,AVES,MOCHO ORELHUDO,RHINOPTYNX CLAMATOR,NE,No evaluada,False
14,REPTILES,TORTUGA MORROCOY,GEOCHELONE CARBONARIA,NE,No evaluada,False
15,MAMIFEROS,NOVEMCINCTUS,DASYPUS NOVEMCINCTUS LINNAEUS,NE,No evaluada,False
16,MAMIFEROS,NASUA,NASUA NASUA,NE,No evaluada,False
17,MAMIFEROS,PUERCO ESPIN,COENDU SP.,NE,No evaluada,False
18,REPTILES,BOA,BOA CONSTRICTOR,NE,No evaluada,False
19,MAMIFEROS,NOVENCNCTUS,DASYPUS NOVENCNCTUS,NE,No evaluada,False
20,MAMIFEROS,TITI PIEL ROJA,SAGUINUS LEUCOPUS,NE,No evaluada,False
21,AVES,IGNOBILIS,TURDUS IGNOBILIS,NE,No evaluada,False
22,AVES,VITRIOLINA,TANGARA VITRIOLINA,NE,No evaluada,False
23,AVES,MIRLA PANTANERA,TURDUS FUSCATER,NE,No evaluada,False
24,AVES,TURPIAL,ICTERUS CHRYSATER,NE,No evaluada,False
25,AVES,CANARIO SILVESTRE,SICALIS FLAVEOLA,NE,No evaluada,False
26,AVES,SPIZA,CHLOROPHANES SPIZA,NE,No evaluada,False
27,MAMIFEROS,FLAVUS,POTOS FLAVUS (SCHREBER),NE,No evaluada,False
28,AVES,TUCAN CONFITE,RAMPHASTOS SULPHURATUS,NE,No evaluada,False
29,AVES,PERICO REAL,BROTOGERIS JUGULARIS,NE,No evaluada,False
30,AVES,FLAMINGO ROSADO,PHOENICOPTERUS RUBER,NE,No evaluada,False
