tiempo_key,ubicacion_key,especie_key,autoridad_key,situacion,cantidad
1,1,721,1,ENTREGA VOLUNTARIA,1
1,2,79,2,ENTREGA VOLUNTARIA,1
1,3,625,2,ENTREGA VOLUNTARIA,1
1,4,678,1,ENTREGA VOLUNTARIA,2
1,5,453,1,ENTREGA VOLUNTARIA,1
1,6,453,1,ENTREGA VOLUNTARIA,1
1,7,453,1,ENTREGA VOLUNTARIA,1
1,1,453,1,ENTREGA VOLUNTARIA,1
1,8,240,3,ENTREGA VOLUNTARIA,1
1,9,870,2,ENTREGA VOLUNTARIA,1
1,10,67,3,ENTREGA VOLUNTARIA,1
1,10,55,3,ENTREGA VOLUNTARIA,1
1,11,64,3,ENTREGA VOLUNTARIA,1
1,11,38,3,ENTREGA VOLUNTARIA,1
1,11,55,3,ENTREGA VOLUNTARIA,2
1,11,21,3,ENTREGA VOLUNTARIA,1
1,2,772,2,ENTREGA VOLUNTARIA,1
1,12,416,1,ENTREGA VOLUNTARIA,1
1,13,316,1,ENTREGA VOLUNTARIA,1
1,13,590,1,ENTREGA VOLUNTARIA,1
1,14,240,1,ENTREGA VOLUNTARIA,1
1,15,453,1,ENTREGA VOLUNTARIA,1
1,16,453,1,ENTREGA VOLUNTARIA,1
1,17,240,1,ENTREGA VOLUNTARIA,1
1,18,453,1,ENTREGA VOLUNTARIA,1
1,1,453,1,ENTREGA VOLUNTARIA,1
1,1,258,1,ENTREGA VOLUNTARIA,1
1,19,114,1,ENTREGA VOLUNTARIA,1
1,20,678,1,ENTREGA VOLUNTARIA,1
1,18,453,1,ENTREGA VOLUNTARIA,1
1,1,453,1,ENTREGA VOLUNTARIA,1
1,21,453,1,ENTREGA VOLUNTARIA,1
1,22,453,1,ENTREGA VOLUNTARIA,1
1,23,316,1,ENTREGA VOLUNTARIA,1
1,1,240,1,ENTREGA VOLUNTARIA,1
1,24,317,1,ENTREGA VOLUNTARIA,1
1,25,240,1,ENTREGA VOLUNTARIA,1
1,26,590,3,ENTREGA VOLUNTARIA,1
1,27,772,1,ENTREGA VOLUNTARIA,1
1,28,21,1,ENTREGA VOLUNTARIA,1
1,5,784,1,ENTREGA VOLUNTARIA,1
1,11,240,1,ENTREGA VOLUNTARIA,1
1,29,879,1,ENTREGA VOLUNTARIA,1
1,29,844,1,ENTREGA VOLUNTARIA,1
1,29,876,1,ENTREGA VOLUNTARIA,1
1,29,440,1,ENTREGA VOLUNTARIA,1
1,29,804,1,ENTREGA VOLUNTARIA,3
1,29,231,1,ENTREGA VOLUNTARIA,1
1,30,453,1,ENTREGA VOLUNTARIA,1
1,31,453,1,ENTREGA VOLUNTARIA,1
1,11,730,1,ENTREGA VOLUNTARIA,1
1,19,759,3,ENTREGA VOLUNTARIA,1
1,19,126,3,ENTREGA VOLUNTARIA,1
1,19,876,3,ENTREGA VOLUNTARIA,2
1,19,658,3,ENTREGA VOLUNTARIA,1
1,32,64,1,ENTREGA VOLUNTARIA,1
1,1,453,1,ENTREGA VOLUNTARIA,1
1,33,316,1,ENTREGA VOLUNTARIA,1
1,34,416,1,ENTREGA VOLUNTARIA,1
1,18,121,1,ENTREGA VOLUNTARIA,1
1,35,316,1,ENTREGA VOLUNTARIA,1
1,36,140,1,ENTREGA VOLUNTARIA,1
1,5,484,1,ENTREGA VOLUNTARIA,1
1,37,151,1,ENTREGA VOLUNTARIA,1
1,20,316,1,ENTREGA VOLUNTARIA,1
1,38,453,1,ENTREGA VOLUNTARIA,1
1,9,453,1,ENTREGA VOLUNTARIA,1
1,7,416,1,ENTREGA VOLUNTARIA,1
1,19,625,4,ENTREGA VOLUNTARIA,1
1,39,171,1,ENTREGA VOLUNTARIA,1
1,25,240,1,ENTREGA VOLUNTARIA,1
1,1,590,1,ENTREGA VOLUNTARIA,1
1,40,484,1,ENTREGA VOLUNTARIA,1
1,41,770,1,ENTREGA VOLUNTARIA,1
1,20,416,1,ENTREGA VOLUNTARIA,1
1,42,240,1,ENTREGA VOLUNTARIA,1
1,43,453,1,ENTREGA VOLUNTARIA,1
1,43,484,1,ENTREGA VOLUNTARIA,1
1,44,416,1,ENTREGA VOLUNTARIA,1
1,45,453,1,ENTREGA VOLUNTARIA,1
1,43,453,1,ENTREGA VOLUNTARIA,1
1,41,517,1,ENTREGA VOLUNTARIA,1
1,46,113,1,ENTREGA VOLUNTARIA,1
1,25,484,1,ENTREGA VOLUNTARIA,1
1,11,240,1,ENTREGA VOLUNTARIA,1
1,47,784,1,ENTREGA VOLUNTARIA,1
1,21,870,1,ENTREGA VOLUNTARIA,2
1,48,453,1,ENTREGA VOLUNTARIA,1
1,19,416,1,ENTREGA VOLUNTARIA,1
1,19,416,1,ENTREGA VOLUNTARIA,1
1,19,114,1,ENTREGA VOLUNTARIA,1
1,49,453,1,ENTREGA VOLUNTARIA,2
1,50,416,1,ENTREGA VOLUNTARIA,1
1,51,484,1,ENTREGA VOLUNTARIA,1
1,30,67,1,ENTREGA VOLUNTARIA,1
1,52,123,1,ENTREGA VOLUNTARIA,1
1,53,240,1,ENTREGA VOLUNTARIA,1
1,54,317,1,ENTREGA VOLUNTARIA,1
1,5,706,3,ENTREGA VOLUNTARIA,4
1,5,784,3,ENTREGA VOLUNTARIA,1
1,5,695,3,ENTREGA VOLUNTARIA,3
1,5,484,3,ENTREGA VOLUNTARIA,1
1,5,21,3,ENTREGA VOLUNTARIA,1
1,5,38,3,ENTREGA VOLUNTARIA,1
1,5,870,3,ENTREGA VOLUNTARIA,1
1,19,784,1,ENTREGA VOLUNTARIA,1
1,55,361,1,ENTREGA VOLUNTARIA,1
1,5,123,3,ENTREGA VOLUNTARIA,1
1,5,354,3,ENTREGA VOLUNTARIA,1
1,42,453,1,ENTREGA VOLUNTARIA,1
1,5,453,3,ENTREGA VOLUNTARIA,1
1,5,38,3,ENTREGA VOLUNTARIA,1
1,5,484,3,ENTREGA VOLUNTARIA,2
1,5,721,3,ENTREGA VOLUNTARIA,1
1,5,870,3,ENTREGA VOLUNTARIA,2
1,56,453,3,ENTREGA VOLUNTARIA,1
1,56,453,3,ENTREGA VOLUNTARIA,1
1,5,484,3,ENTREGA VOLUNTARIA,1
1,5,484,3,ENTREGA VOLUNTARIA,1
1,56,870,3,ENTREGA VOLUNTARIA,1
1,5,416,3,ENTREGA VOLUNTARIA,1
1,5,140,3,ENTREGA VOLUNTARIA,1
1,5,484,3,ENTREGA VOLUNTARIA,1
1,5,484,3,ENTREGA VOLUNTARIA,1
1,22,174,3,ENTREGA VOLUNTARIA,1
1,55,870,1,ENTREGA VOLUNTARIA,3
1,4,240,3,ENTREGA VOLUNTARIA,1
1,5,795,3,ENTREGA VOLUNTARIA,1
1,5,416,3,ENTREGA VOLUNTARIA,1
1,5,453,3,ENTREGA VOLUNTARIA,1
